Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Everything Sad Is Untrue,Daniel Nayeri,Daniel Nayeri (Narrator),9780593168400,audio,to-read,2023/01/12,"","",0,"",,,,,,,,,"",,"",No
A Winter's Promise,Christelle Dabos,Hildegarde Serle (Translator),9781609456078,paperback,read,2021/12/20,"","",1,"",,,,,,,,,"",,"",No
Bullshit Jobs: A Theory,David Graeber,"",9781501143311,hardcover,to-read,2024/06/23,"","",0,"",,,,,,,,,"",,"",No
Queenie,Candice Carty-Williams,"",9781501196034,digital,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2021/03/16,2023/12/10,2023/12/09-2023/12/10,2,"",,,,,,,3.0,,"",,"",No
All the Birds in the Sky,Charlie Jane Anders,"",9780765379948,hardcover,read,2022/01/04,"","",1,"",,,,,,,,,"",,"",No
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,2023/12/16,2023/12/16,2023/12/14-2023/12/16,1,"",,,,,,,,,"",,"",No
Life Between Buildings: Using Public Space,Jan Gehl,"",9788774073604,paperback,to-read,2023/08/16,"","",0,"",,,,,,,,,"",,"",No
The Wisteria Society of Lady Scoundrels,India Holton,"",9781405954938,paperback,read,2021/08/22,2023/05/17,2023/05/17-2023/05/17,2,"",,,,,,,,,"",,"",No
Self-Portrait As Othello,Jason Allen-Paisant,"",9781800173101,paperback,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
An Illumination of Thieves,India Holton,"","",digital,to-read,2023/05/17,"","",0,"",,,,,,,,,"",,"",No
Happy Place,Emily Henry,"",9780593441275,hardcover,to-read,2024/04/01,"","",0,"",,,,,,,,,"",,"",No
All Systems Red,Martha Wells,"",9780765397522,digital,read,2025/02/16,2025/04/14,2025/04/14-2025/04/14,1,"",,,,,,,,,"",,"",No
The Ex Hex,Erin Sterling,"",9780063027473,paperback,read,2023/08/11,2023/08/18,2023/08/12-2023/08/18,1,"",,,,,,,,,"",,"",No
Bloodchild and Other Stories,Octavia E. Butler,"",9781583226988,paperback,to-read,2023/09/28,"","",0,"",,,,,,,,,"",,"",No
Throne of Glass,Sarah J. Maas,"",9781619630345,paperback,to-read,2022/12/27,"","",0,"",,,,,,,,,"",,"",No
The Meaning of Anxiety,Rollo May,"",9780393350876,paperback,to-read,2024/10/20,"","",0,"",,,,,,,,,"",,"",No
The Three-Body Problem,Cixin Liu,Ken Liu (Translator),9780765377067,hardcover,read,2023/11/30,2023/12/09,2023/12/06-2023/12/09,1,"",,,,,,,,,"",,"",No
Heartstopper Volume 1,Alice Oseman,"",9781338617436,paperback,read,2021/03/16,"","",1,"",,,,,,,3.0,,"",,"",No
"Lore Olympus, Season 2",Rachel Smythe,"","",digital,read,2022/12/21,2022/12/21,2022/12/21-2022/12/21,1,"",,,,,,,,,"",,"",No
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Mary GrandPré (Illustrator),9780590353427,paperback,read,2021/03/16,"","",1,"",,,,,,,5.0,,"",,"",No
The Lightning-Struck Heart,TJ Klune,"",9781734086263,paperback,read,2024/10/25,2024/10/25,2024/10/21-2024/10/25,1,"",,,,,,,,,"",,"",No
Milk Fed,Melissa Broder,"",9781982142490,hardcover,to-read,2023/09/19,"","",0,"",,,,,,,,,"",,"",No
Daddy,Loup Durand,"",,,to-read,2025/04/12,"","",0,"",,,,,,,,,"",,"",No
Funny Story,Emily Henry,"",9780593441282,hardcover,to-read,2024/07/30,"","",0,"",,,,,,,,,"",,"",No
The Ex Talk,Rachel Lynn Solomon,"",9780593200124,paperback,to-read,2022/07/22,"","",0,"",,,,,,,,,"",,"",No
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"",9781857982015,paperback,read,2021/03/16,"","",1,"",,,,,,,5.0,,"",,"",No
Jade Legacy,Fonda Lee,"",9780316440974,hardcover,read,2022/07/19,2022/07/19,2022/07/19-2022/07/19,1,"dark, tense, emotional, adventurous",fast,A mix,Yes,Yes,Yes,No,4.5,<div>The end of this trilogy had me crying. After spending hundreds of pages with these characters they feel like real people. I was invested in every tragedy and triumph!</div>,"","","",No
My Volcano,John Elizabeth Stintzi,"",9781551528731,paperback,to-read,2024/04/01,"","",0,"",,,,,,,,,"",,"",No
The Priory of the Orange Tree,Samantha Shannon,"",9781635570298,hardcover,read,2022/06/26,2022/06/25,2022/05/26-2022/06/25,2,"mysterious, emotional, adventurous",slow,Plot,No,Yes,Yes,No,4.25,<div>This book was lovely and adventurous! At times it felt a little <em>long </em>but there were lots of plot reveals and fun character moments that made it worth it.</div>,"","","",No
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,"",9781683691440,digital,to-read,2021/08/09,"","",0,"",,,,,,,,,"",,"",No
Good to Great: Why Some Companies Make the Leap...and Others Don't,Jim Collins,"",9780066620992,hardcover,to-read,2022/08/12,"","",0,"",,,,,,,,,"",,"",No
Turtles All the Way Down,John Green,"",9780525555360,hardcover,read,2022/01/10,2022/01/11,2022/01/10-2022/01/11,1,"",,,,,,,,,"",,"",No
Less,Andrew Sean Greer,Jana Jašová (Translator),9788073355609,hardcover,read,2021/03/19,"","",1,"",,,,,,,5.0,,"",,"",No
Axiom's End,Lindsay Ellis,"",9781250256737,hardcover,to-read,2024/06/04,"","",0,"",,,,,,,,,"",,"",No
